country,site,latitude,longitude
Fiji,NV1,-17.294,179.3578
Fiji,TF1,-17.30246,179.4471
Fiji,TF2,-17.2996,179.45132
Fiji,TF3,-17.29677,179.44435
Fiji,TF4,-17.27405,179.43878
Fiji,TF5,-17.26915,179.43959
Fiji,TT2,-17.287,179.44337
Fiji,TT3,-17.28759,179.4375
Fiji,V1,-17.2403,179.3944
Fiji,V2,-17.2263,179.3613
Fiji,V3,-17.2569,179.3589
Fiji,V4,-17.2554,179.3447
Fiji,V5,-17.2665,179.3503
Solomon Islands,Chubikopi 4,-8.45777,158.05919
Solomon Islands,Chubikopi 5,-8.46183,158.07201
Solomon Islands,Chubikopi 6,-8.47539,158.06383
Solomon Islands,Malemale 1,-8.78811,158.25349
Solomon Islands,Malemale 2,-8.78602,158.24794
Solomon Islands,Mbulo 1,-8.75584,158.29172
Solomon Islands,Mbulo 2,-8.7554,158.2869
Solomon Islands,Mbulo 4,-8.75722,158.27533
Solomon Islands,Peava 1,-8.79576,158.24156
Solomon Islands,Peava 2,-8.78814,158.23734
Solomon Islands,Zaira 3,-8.76221,157.9538
Solomon Islands,Zaira 4,-8.75989,157.9485
Solomon Islands,Zaira F 1,-8.79491,157.99971
Solomon Islands,Zaira F 2,-8.79598,157.98672
Solomon Islands,Zaira F 3,-8.80348,157.98112
Fiji,C13,-17.0476,178.9761
Fiji,C3,-17.063367,179.020033
Fiji,C5,-17.060783,179.0013
Fiji,KB07,-17.08317,179.04076
Fiji,NAD001,-17.05482602,178.9151571
Fiji,NAD002,-17.05102458,178.910541
Fiji,NAD004,-17.03807619,178.9373656
Fiji,NAD005,-17.0347327,178.9203162
Fiji,NAD006,-17.03120279,178.9222169
Fiji,NAD007,-16.96630678,178.7929679
Fiji,NAD008,-16.96331994,178.8011139
Fiji,NAD009,-16.95775539,178.8108583
Fiji,NAD010,-16.9492003,178.8060015
Fiji,NAD012,-16.94132589,178.8217503
Fiji,NAD013,-16.93399454,178.8119751
Fiji,NAD016,-16.92557707,178.8198496
Fiji,NAD019,-16.91987491,178.8326115
Fiji,NAD020,-16.92340482,178.8423867
Fiji,NAD021,-16.91254356,178.8388568
Fiji,NAD103,-17.047288,178.911822
Fiji,NAD111,-16.951638,178.816601
Fiji,NAD117,-16.934046,178.830992
Fiji,SOL001A,-17.094474,178.777817
